Timestamp,DMM_Voltage,PSU_Voltage,Mode,ESS_State,Cycle,Event
2026-06-29 15:56:32,0.0,1.998,auto,CYCLE_2_OFF,2,Cycle 2 OFF
2026-06-29 15:56:32,0.0,1.998,auto,CYCLE_2_OFF,2,Cycle 2 OFF
2026-06-29 15:56:32,0.0,1.998,auto,CYCLE_2_OFF,2,Cycle 2 OFF
2026-06-29 15:56:32,0.0,1.998,auto,CYCLE_2_OFF,2,Cycle 2 OFF
2026-06-29 15:56:32,0.0,1.998,auto,CYCLE_2_OFF,2,Cycle 2 OFF
2026-06-29 15:56:32,0.0,1.998,auto,CYCLE_2_OFF,2,Cycle 2 OFF
2026-06-29 15:56:32,0.0,1.998,auto,CYCLE_2_OFF,2,Cycle 2 OFF
2026-06-29 15:56:33,0.0,0.0,auto,CYCLE_2_OFF,2,Cycle 2 OFF
2026-06-29 15:56:41,-0.0115,1.998,auto,CYCLE_3_ON,3,Cycle 3 ON
2026-06-29 15:56:48,1.9964,1.998,auto,CYCLE_3_ON,3,Cycle 3 ON
2026-06-29 15:56:48,0.0,1.998,auto,CYCLE_3_OFF,3,Cycle 3 OFF
2026-06-29 15:56:48,0.0,1.998,auto,CYCLE_3_OFF,3,Cycle 3 OFF
2026-06-29 15:56:48,0.0,1.998,auto,CYCLE_3_OFF,3,Cycle 3 OFF
2026-06-29 15:56:48,0.0,1.998,auto,CYCLE_3_OFF,3,Cycle 3 OFF
2026-06-29 15:56:48,0.0,1.998,auto,CYCLE_3_OFF,3,Cycle 3 OFF
2026-06-29 15:56:48,0.0,1.998,auto,CYCLE_3_OFF,3,Cycle 3 OFF
2026-06-29 15:56:48,0.0,1.998,auto,CYCLE_3_OFF,3,Cycle 3 OFF
2026-06-29 15:56:48,0.0,1.998,auto,CYCLE_3_OFF,3,Cycle 3 OFF
2026-06-29 15:56:50,0.0,0.0,auto,CYCLE_3_OFF,3,Cycle 3 OFF
2026-06-29 15:56:58,0.0017,1.998,auto,CYCLE_4_ON,4,Cycle 4 ON
2026-06-29 15:57:05,1.9964,1.998,auto,CYCLE_4_ON,4,Cycle 4 ON
2026-06-29 15:57:05,0.0,1.998,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:05,0.0,1.998,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:05,0.0,1.998,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:05,0.0,1.998,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:05,0.0,1.998,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:05,0.0,1.998,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:05,0.0,1.998,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:05,0.0,1.998,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:06,0.0,0.0,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:08,0.0,0.0,auto,CYCLE_4_OFF,4,Cycle 4 OFF
2026-06-29 15:57:16,-0.0138,1.998,auto,CYCLE_5_ON,5,Cycle 5 ON
2026-06-29 15:57:23,1.9963,1.998,auto,CYCLE_5_ON,5,Cycle 5 ON
2026-06-29 15:57:23,0.0,1.998,auto,CYCLE_5_OFF,5,Cycle 5 OFF
2026-06-29 15:57:23,0.0,1.998,auto,CYCLE_5_OFF,5,Cycle 5 OFF
2026-06-29 15:57:23,0.0,1.998,auto,CYCLE_5_OFF,5,Cycle 5 OFF
2026-06-29 15:57:23,0.0,1.998,auto,CYCLE_5_OFF,5,Cycle 5 OFF
2026-06-29 15:57:23,0.0,1.998,auto,CYCLE_5_OFF,5,Cycle 5 OFF
2026-06-29 15:57:23,0.0,1.998,auto,CYCLE_5_OFF,5,Cycle 5 OFF
2026-06-29 15:57:23,0.0,1.998,auto,CYCLE_5_OFF,5,Cycle 5 OFF
2026-06-29 15:57:23,0.0,1.998,auto,CYCLE_5_OFF,5,Cycle 5 OFF
2026-06-29 15:57:24,0.0,0.0,auto,CYCLE_5_OFF,5,Cycle 5 OFF
2026-06-29 15:57:32,-0.0089,1.998,auto,CYCLE_6_ON,6,Cycle 6 ON
2026-06-29 15:57:39,1.9963,1.998,auto,CYCLE_6_ON,6,Cycle 6 ON
2026-06-29 15:57:39,0.0,1.998,auto,CYCLE_6_OFF,6,Cycle 6 OFF
2026-06-29 15:57:39,0.0,1.998,auto,CYCLE_6_OFF,6,Cycle 6 OFF
2026-06-29 15:57:39,0.0,1.998,auto,CYCLE_6_OFF,6,Cycle 6 OFF
2026-06-29 15:57:39,0.0,1.998,auto,CYCLE_6_OFF,6,Cycle 6 OFF
2026-06-29 15:57:39,0.0,1.998,auto,CYCLE_6_OFF,6,Cycle 6 OFF
2026-06-29 15:57:39,0.0,1.998,auto,CYCLE_6_OFF,6,Cycle 6 OFF
2026-06-29 15:57:39,0.0,1.998,auto,CYCLE_6_OFF,6,Cycle 6 OFF
2026-06-29 15:57:39,0.0,1.998,auto,CYCLE_6_OFF,6,Cycle 6 OFF
2026-06-29 15:57:41,0.0,0.0,auto,CYCLE_6_OFF,6,Cycle 6 OFF
2026-06-29 15:57:49,-0.0117,1.998,auto,CYCLE_7_ON,7,Cycle 7 ON
2026-06-29 15:57:56,1.9963,1.998,auto,CYCLE_7_ON,7,Cycle 7 ON
2026-06-29 15:57:56,0.0,1.998,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:57:56,0.0,1.998,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:57:56,0.0,1.998,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:57:56,0.0,1.998,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:57:56,0.0,1.998,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:57:56,0.0,1.998,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:57:56,0.0,1.998,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:57:56,0.0,1.998,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:57:57,0.0,0.0,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:57:59,0.0,0.0,auto,CYCLE_7_OFF,7,Cycle 7 OFF
2026-06-29 15:58:00,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:02,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:03,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:05,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:06,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:08,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:09,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:11,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:12,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:14,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:15,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:17,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:18,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:20,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:21,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:23,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:24,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:26,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:27,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:29,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:30,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:32,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:33,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:35,0.0,0.0,manual,COMPLETE,7,ESS Completed
2026-06-29 15:58:36,0.0,0.0,manual,COMPLETE,7,ESS Completed
